256
Atoms. Timestep: 66000
1 4.72802 14.9034 6.77797
1 4.73173 14.9199 10.8219
1 4.68894 14.8853 14.9252
1 8.81068 2.66286 2.66469
1 8.83833 2.69449 6.77148
1 8.84798 2.69632 10.825
1 8.82601 2.65771 14.8842
1 8.78695 6.74951 2.65629
1 8.75852 6.73584 6.76495
1 8.80115 6.81016 10.8548
1 8.81803 6.75281 14.8717
1 8.84637 10.845 2.74721
1 8.79635 10.7927 6.79404
1 8.86091 10.8541 10.8742
1 8.85698 10.8644 14.9572
1 8.81184 14.9042 2.74549
1 8.79843 14.8808 6.75976
1 8.86393 14.8978 10.8641
1 8.83068 14.8909 14.9391
1 12.878 2.71565 2.6704
1 12.8709 2.69284 6.76893
1 12.9281 2.74566 10.827
1 12.9017 2.67799 14.9262
1 12.858 6.77372 2.65854
1 12.8863 6.79722 6.74424
1 12.8742 6.81902 10.8248
1 12.8421 6.78442 14.8646
1 12.9078 10.8644 2.73309
1 12.8499 10.8154 6.81446
1 12.8731 10.8511 10.8903
1 12.8502 10.8901 14.9916
1 12.8743 14.8994 2.73043
1 12.839 14.8952 6.76048
1 12.8541 14.9249 10.8818
1 12.889 14.9325 14.9615
1 2.6637 0.658463 2.7166
1 2.59518 16.9256 6.76373
1 2.66162 0.665353 10.8156
1 2.69363 0.714771 14.9006
1 2.67189 4.73962 2.67655
1 2.65179 4.7034 6.73924
1 2.66034 4.72685 10.8033
1 2.71346 4.71753 14.9009
1 2.62974 8.80567 2.67936
1 2.67541 8.81684 6.75533
1 2.64891 8.87298 10.8499
1 2.66337 8.82601 14.929
1 2.65645 12.8823 2.71387
1 2.64705 12.8645 6.80773
1 2.68794 12.9041 10.8429
1 2.6547 12.8682 14.9744
1 6.8012 0.633582 2.70616
1 6.80555 0.626607 6.79634
1 6.7839 0.636971 10.8243
1 6.79255 0.647872 14.9002
1 6.80261 4.69391 2.63717
1 6.73166 4.69571 6.75962
1 6.77027 4.74228 10.8244
1 6.83547 4.72641 14.8486
1 6.78433 8.80116 2.64381
1 6.77921 8.79166 6.7576
1 6.78454 8.83821 10.8128
1 6.76275 8.81102 14.8704
1 6.76504 12.8827 2.69346
1 6.75823 12.8411 6.72767
1 6.8062 12.8954 10.8617
1 6.76215 12.855 14.9239
1 10.8634 0.645783 2.68844
1 10.8399 0.630239 6.75386
1 10.8927 0.663672 10.876
1 10.8887 16.9008 14.9632
1 10.7913 4.74003 2.66755
1 10.8564 4.73418 6.75466
1 10.8549 4.76531 10.7804
1 10.8689 4.67364 14.8668
1 10.8107 8.83357 2.69848
1 10.8063 8.79107 6.79446
1 10.8264 8.8565 10.8647
1 10.8387 8.85582 14.9421
1 10.8604 12.8715 2.73156
1 10.8347 12.8556 6.80847
1 10.8689 12.8761 10.8812
1 10.8741 12.891 14.9709
1 14.914 16.9663 2.71038
1 14.8635 16.9177 6.76541
1 14.8807 0.667978 10.8408
1 14.9487 16.9987 14.9143
1 14.9086 4.71711 2.67324
1 14.932 4.71528 6.74799
1 14.9427 4.75708 10.783
1 14.9074 4.72272 14.9057
1 14.8918 8.816 2.677
1 14.9223 8.82438 6.75496
1 14.9016 8.84409 10.8343
1 14.8879 8.81473 14.9252
1 14.9209 12.8739 2.72459
1 14.8679 12.8621 6.79211
1 14.8952 12.8781 10.9222
1 14.9037 12.8957 14.9638
1 2.7163 2.70907 0.64658
1 2.62693 2.67188 4.74371
1 2.59793 2.64802 8.80693
1 2.68879 2.71831 12.8305
1 2.6952 6.75827 0.629955
1 2.68367 6.74373 4.72033
1 2.66944 6.77327 8.79703
1 2.64649 6.78804 12.8742
1 2.6657 10.792 0.681962
1 2.68316 10.8194 4.70733
1 2.69997 10.8327 8.87649
1 2.68481 10.8684 12.8808
1 2.71083 14.915 17.0065
1 2.70173 14.9402 4.72932
1 2.64604 14.9615 8.82924
1 2.65869 14.9307 12.8827
1 6.7865 2.67487 16.9412
1 6.78898 2.67634 4.73097
1 6.81243 2.64822 8.80903
1 6.77939 2.68898 12.8278
1 6.80391 6.75621 0.574166
1 6.75301 6.73248 4.68668
1 6.75558 6.75486 8.81259
1 6.7666 6.79658 12.822
1 6.77926 10.8419 0.647575
1 6.79644 10.7999 4.68687
1 6.77893 10.8177 8.80809
1 6.79156 10.8405 12.8869
1 6.74265 14.8879 16.9451
1 6.77862 14.9095 4.69236
1 6.79546 14.9039 8.82166
1 6.77586 14.8923 12.884
1 10.8291 2.6348 0.63612
1 10.8287 2.70095 4.71921
1 10.8436 2.71856 8.84458
1 10.8714 2.65863 12.8605
1 10.8268 6.74121 16.9011
1 10.8114 6.77297 4.69632
1 10.8254 6.7909 8.81864
1 10.8312 6.75477 12.8638
1 10.8525 10.8774 17.0106
1 10.8459 10.8093 4.78497
1 10.836 10.7931 8.87957
1 10.8568 10.8607 12.9293
1 10.8807 14.8949 16.9864
1 10.8249 14.9102 4.72198
1 10.8687 14.906 8.82075
1 10.8466 14.9064 12.9161
1 14.948 2.68656 16.9461
1 14.9116 2.67888 4.71345
1 14.922 2.69618 8.80359
1 14.9483 2.71825 12.8452
1 14.885 6.76824 0.64376
1 14.9565 6.77709 4.66744
1 14.9512 6.77873 8.78822
1 14.9369 6.78192 12.8329
1 14.9297 10.8495 16.9746
1 14.9149 10.8317 4.74171
1 14.9353 10.8331 8.84276
1 14.9162 10.8392 12.929
1 14.9471 14.9431 16.9847
1 14.898 14.8881 4.73199
1 14.8839 14.8961 8.82138
1 14.9229 14.9393 12.9238
1 0.683733 16.9779 16.9549
1 0.614825 16.9729 4.74733
1 0.607422 16.9556 8.79139
1 0.660574 0.706081 12.8317
1 16.9522 4.7395 0.65631
1 0.664311 4.74993 4.713
1 0.657695 4.74326 8.74617
1 16.9489 4.74447 12.8312
1 16.916 8.79627 0.686059
1 16.9496 8.82364 4.69127
1 0.655291 8.83132 8.7761
1 0.622685 8.84888 12.8431
1 0.651243 12.8741 16.9595
1 0.640072 12.8744 4.7391
1 0.622497 12.8585 8.84464
1 0.631412 12.8636 12.8961
